ano,experiencia,contrato,cargo,salario,moeda,salario_em_usd,residencia,tipo_trabalho,localizacao_empresa,tamanho_empresa,residencia_iso3
2025,Senior,Integral,Data Scientist,185000,USD,185000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,148000,USD,148000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,135000,USD,135000,CA,Presencial,CA,Média,CAN
2025,Pleno,Integral,Data Scientist,108000,USD,108000,CA,Presencial,CA,Média,CAN
2025,Senior,Integral,Data Scientist,258000,USD,258000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,119800,USD,119800,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,175074,USD,175074,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,79560,USD,79560,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,117000,USD,117000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,90000,USD,90000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,115000,GBP,145569,GB,Presencial,GB,Média,GBR
2025,Senior,Integral,Data Scientist,85000,GBP,107594,GB,Presencial,GB,Média,GBR
2025,Pleno,Integral,Data Scientist,121956,USD,121956,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,93974,USD,93974,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,98817,USD,98817,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,74113,USD,74113,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,161250,USD,161250,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,138750,USD,138750,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,226000,USD,226000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,140000,USD,140000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,164320,USD,164320,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,95680,USD,95680,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,186000,USD,186000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,149000,USD,149000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,186000,USD,186000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,149000,USD,149000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,155000,USD,155000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,125882,USD,125882,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,196900,USD,196900,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,193482,USD,193482,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,196900,USD,196900,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,189953,USD,189953,US,Remoto,US,Média,USA
